title,url,episode,season
Simpsons Roasting on an Open Fire,https://simpsons.fandom.com/wiki/Simpsons_Roasting_on_an_Open_Fire,1,1
Bart the Genius,https://simpsons.fandom.com/wiki/Bart_the_Genius,2,1
Homer's Odyssey,https://simpsons.fandom.com/wiki/Homer%27s_Odyssey,3,1
There's No Disgrace Like Home,https://simpsons.fandom.com/wiki/There%27s_No_Disgrace_Like_Home,4,1
Bart the General,https://simpsons.fandom.com/wiki/Bart_the_General,5,1
Moaning Lisa,https://simpsons.fandom.com/wiki/Moaning_Lisa,6,1
The Call of the Simpsons,https://simpsons.fandom.com/wiki/The_Call_of_the_Simpsons,7,1
The Telltale Head,https://simpsons.fandom.com/wiki/The_Telltale_Head,8,1
Life on the Fast Lane,https://simpsons.fandom.com/wiki/Life_on_the_Fast_Lane,9,1
Homer's Night Out,https://simpsons.fandom.com/wiki/Homer%27s_Night_Out,10,1
The Crepes of Wrath,https://simpsons.fandom.com/wiki/The_Crepes_of_Wrath,11,1
Krusty Gets Busted,https://simpsons.fandom.com/wiki/Krusty_Gets_Busted,12,1
Some Enchanted Evening,https://simpsons.fandom.com/wiki/Some_Enchanted_Evening,13,1
"Bart Gets an ""F""",https://simpsons.fandom.com/wiki/Bart_Gets_an_%22F%22,1,2
Simpson and Delilah,https://simpsons.fandom.com/wiki/Simpson_and_Delilah,2,2
Treehouse of Horror,https://simpsons.fandom.com/wiki/Treehouse_of_Horror,3,2
Two Cars in Every Garage and Three Eyes on Every Fish,https://simpsons.fandom.com/wiki/Two_Cars_in_Every_Garage_and_Three_Eyes_on_Every_Fish,4,2
Dancin' Homer,https://simpsons.fandom.com/wiki/Dancin%27_Homer,5,2
Dead Putting Society,https://simpsons.fandom.com/wiki/Dead_Putting_Society,6,2
Bart vs. Thanksgiving,https://simpsons.fandom.com/wiki/Bart_vs._Thanksgiving,7,2
Bart the Daredevil,https://simpsons.fandom.com/wiki/Bart_the_Daredevil,8,2
Itchy & Scratchy & Marge,https://simpsons.fandom.com/wiki/Itchy_%26_Scratchy_%26_Marge,9,2
Bart Gets Hit by a Car,https://simpsons.fandom.com/wiki/Bart_Gets_Hit_by_a_Car,10,2
"One Fish, Two Fish, Blowfish, Blue Fish","https://simpsons.fandom.com/wiki/One_Fish,_Two_Fish,_Blowfish,_Blue_Fish",11,2
The Way We Was,https://simpsons.fandom.com/wiki/The_Way_We_Was,12,2
Homer vs. Lisa and the 8th Commandment,https://simpsons.fandom.com/wiki/Homer_vs._Lisa_and_the_8th_Commandment,13,2
Principal Charming,https://simpsons.fandom.com/wiki/Principal_Charming,14,2
"Oh Brother, Where Art Thou?","https://simpsons.fandom.com/wiki/Oh_Brother,_Where_Art_Thou%3F",15,2
Bart's Dog Gets an F,https://simpsons.fandom.com/wiki/Bart%27s_Dog_Gets_an_F,16,2
Old Money,https://simpsons.fandom.com/wiki/Old_Money,17,2
Brush with Greatness,https://simpsons.fandom.com/wiki/Brush_with_Greatness,18,2
Lisa's Substitute,https://simpsons.fandom.com/wiki/Lisa%27s_Substitute,19,2
The War of the Simpsons,https://simpsons.fandom.com/wiki/The_War_of_the_Simpsons,20,2
Three Men and a Comic Book,https://simpsons.fandom.com/wiki/Three_Men_and_a_Comic_Book,21,2
Blood Feud,https://simpsons.fandom.com/wiki/Blood_Feud,22,2
Stark Raving Dad,https://simpsons.fandom.com/wiki/Stark_Raving_Dad,1,3
Mr. Lisa Goes to Washington,https://simpsons.fandom.com/wiki/Mr._Lisa_Goes_to_Washington,2,3
When Flanders Failed,https://simpsons.fandom.com/wiki/When_Flanders_Failed,3,3
Bart the Murderer,https://simpsons.fandom.com/wiki/Bart_the_Murderer,4,3
Homer Defined,https://simpsons.fandom.com/wiki/Homer_Defined,5,3
"Like Father, Like Clown","https://simpsons.fandom.com/wiki/Like_Father,_Like_Clown",6,3
Treehouse of Horror II,https://simpsons.fandom.com/wiki/Treehouse_of_Horror_II,7,3
Lisa's Pony,https://simpsons.fandom.com/wiki/Lisa%27s_Pony,8,3
Saturdays of Thunder,https://simpsons.fandom.com/wiki/Saturdays_of_Thunder,9,3
Flaming Moe's,https://simpsons.fandom.com/wiki/Flaming_Moe%27s,10,3
Burns Verkaufen der Kraftwerk,https://simpsons.fandom.com/wiki/Burns_Verkaufen_der_Kraftwerk,11,3
I Married Marge,https://simpsons.fandom.com/wiki/I_Married_Marge,12,3
Radio Bart,https://simpsons.fandom.com/wiki/Radio_Bart,13,3
Lisa the Greek,https://simpsons.fandom.com/wiki/Lisa_the_Greek,14,3
Homer Alone,https://simpsons.fandom.com/wiki/Homer_Alone,15,3
Bart the Lover,https://simpsons.fandom.com/wiki/Bart_the_Lover,16,3
Homer at the Bat,https://simpsons.fandom.com/wiki/Homer_at_the_Bat,17,3
Separate Vocations,https://simpsons.fandom.com/wiki/Separate_Vocations,18,3
Dog of Death,https://simpsons.fandom.com/wiki/Dog_of_Death,19,3
Colonel Homer,https://simpsons.fandom.com/wiki/Colonel_Homer,20,3
Black Widower,https://simpsons.fandom.com/wiki/Black_Widower,21,3
The Otto Show,https://simpsons.fandom.com/wiki/The_Otto_Show,22,3
Bart's Friend Falls in Love,https://simpsons.fandom.com/wiki/Bart%27s_Friend_Falls_in_Love,23,3
"Brother, Can You Spare Two Dimes?","https://simpsons.fandom.com/wiki/Brother,_Can_You_Spare_Two_Dimes%3F",24,3
Kamp Krusty,https://simpsons.fandom.com/wiki/Kamp_Krusty,1,4
A Streetcar Named Marge,https://simpsons.fandom.com/wiki/A_Streetcar_Named_Marge,2,4
Homer the Heretic,https://simpsons.fandom.com/wiki/Homer_the_Heretic,3,4
Lisa the Beauty Queen,https://simpsons.fandom.com/wiki/Lisa_the_Beauty_Queen,4,4
Treehouse of Horror III,https://simpsons.fandom.com/wiki/Treehouse_of_Horror_III,5,4
Itchy & Scratchy: The Movie,https://simpsons.fandom.com/wiki/Itchy_%26_Scratchy:_The_Movie,6,4
Marge Gets a Job,https://simpsons.fandom.com/wiki/Marge_Gets_a_Job,7,4
New Kid on the Block,https://simpsons.fandom.com/wiki/New_Kid_on_the_Block,8,4
Mr. Plow,https://simpsons.fandom.com/wiki/Mr._Plow,9,4
Lisa's First Word,https://simpsons.fandom.com/wiki/Lisa%27s_First_Word,10,4
Homer's Triple Bypass,https://simpsons.fandom.com/wiki/Homer%27s_Triple_Bypass,11,4
Marge vs. the Monorail,https://simpsons.fandom.com/wiki/Marge_vs._the_Monorail,12,4
Selma's Choice,https://simpsons.fandom.com/wiki/Selma%27s_Choice,13,4
Brother from the Same Planet,https://simpsons.fandom.com/wiki/Brother_from_the_Same_Planet,14,4
I Love Lisa,https://simpsons.fandom.com/wiki/I_Love_Lisa,15,4
Duffless,https://simpsons.fandom.com/wiki/Duffless,16,4
Last Exit to Springfield,https://simpsons.fandom.com/wiki/Last_Exit_to_Springfield,17,4
So It's Come to This: A Simpsons Clip Show,https://simpsons.fandom.com/wiki/So_It%27s_Come_to_This:_A_Simpsons_Clip_Show,18,4
The Front,https://simpsons.fandom.com/wiki/The_Front,19,4
Whacking Day,https://simpsons.fandom.com/wiki/Whacking_Day,20,4
