,guest_speaker,imdb_rating,imd_votes,number_of_episodes
0,Marcia Wallace,"[7.8, 7.5, 8.2, 8.3, 8.4, 8.4, 8.2, 8.4, 8.2, 8.4, 8.1, 8.6, 8.3, 8.2, 8.1, 8.1, 8.0, 7.3, 7.6, 6.7, 7.1, 7.0, 7.3, 6.9, 6.7]","[1973.0, 1709.0, 1369.0, 1272.0, 1414.0, 1394.0, 1293.0, 1118.0, 1103.0, 1236.0, 1004.0, 1285.0, 1064.0, 995.0, 1019.0, 931.0, 909.0, 851.0, 829.0, 560.0, 757.0, 591.0, 671.0, 461.0, 408.0]",25
1, Ms. Mellon,[7.8],[1973.0],1
2,Ron Taylor,"[7.6, 8.3]","[1674.0, 1084.0]",2
3,Albert Brooks,"[7.9, 7.5, 6.0, 9.2, 7.2, 7.3, 6.8]","[1638.0, 1578.0, 1051.0, 2439.0, 562.0, 505.0, 335.0]",7
4,Sam McMurray,[7.4],[1511.0],1
5,Kelsey Grammer,"[8.3, 8.2, 9.0, 8.3, 8.2, 7.2, 7.3, 7.1, 6.8, 7.2, 6.7, 5.8, 6.8]","[1716.0, 1233.0, 2010.0, 1142.0, 1100.0, 668.0, 628.0, 673.0, 571.0, 545.0, 468.0, 652.0, 385.0]",13
6,Penny Marshall,[7.9],[1567.0],1
7, Christopher Collins,[7.9],[1567.0],1
8, June Foray,[7.9],[1567.0],1
9, Paul Willson,[7.9],[1567.0],1
10,Harvey Fierstein,[8.3],[1588.0],1
11,Tony Bennett,"[7.5, 7.0]","[1381.0, 645.0]",2
12, Tom Poston,[7.5],[1381.0],1
13,Frank Welker,"[7.7, 8.1, 7.7, 9.2]","[1324.0, 1051.0, 913.0, 2256.0]",4
14,Alex Rocco,"[8.1, 7.9]","[1402.0, 1079.0]",2
